real_of_E,imag_of_E,magnitude_of_T
0.01,-15.0,0.022210522645220235
0.01,-14.848484848484848,0.023234407058401053
0.01,-14.696969696969697,0.024307134806876785
0.01,-14.545454545454545,0.02543107624511829
0.01,-14.393939393939394,0.02660871563114602
0.01,-14.242424242424242,0.027842656276633182
0.01,-14.090909090909092,0.029135625889463987
0.01,-13.93939393939394,0.03049048211160082
0.01,-13.787878787878787,0.031910218254683355
0.01,-13.636363636363637,0.033397969235303436
0.01,-13.484848484848484,0.03495701771136707
0.01,-13.333333333333334,0.036590800420379856
0.01,-13.181818181818182,0.03830291471986679
0.01,-13.030303030303031,0.04009712532948269
0.01,-12.878787878787879,0.04197737127367195
0.01,-12.727272727272727,0.04394777302303273
0.01,-12.575757575757576,0.04601263983182274
0.01,-12.424242424242424,0.04817647726834674
0.01,-12.272727272727273,0.05044399493431065
0.01,-12.121212121212121,0.052820114368640814
0.01,-11.969696969696969,0.05530997713080091
0.01,-11.818181818181818,0.05791895305832944
0.01,-11.666666666666666,0.06065264869324517
0.01,-11.515151515151516,0.06351691587217917
0.01,-11.363636363636363,0.06651786047570797
0.01,-11.212121212121213,0.06966185133346325
0.01,-11.06060606060606,0.07295552928333121
0.01,-10.909090909090908,0.07640581638556943
0.01,-10.757575757575758,0.08001992529615824
0.01,-10.606060606060606,0.08380536880836653
0.01,-10.454545454545455,0.08776996957762416
0.01,-10.303030303030303,0.09192187005264425
0.01,-10.151515151515152,0.09626954264567825
0.01,-10.0,0.10082180018724375
0.01,-9.848484848484848,0.10558780672609432
0.01,-9.696969696969697,0.11057708875419708
0.01,-9.545454545454545,0.11579954695965916
0.01,-9.393939393939394,0.12126546863869594
0.01,-9.242424242424242,0.12698554093171763
0.01,-9.090909090909092,0.13297086508945777
0.01,-8.93939393939394,0.13923297202397955
0.01,-8.787878787878787,0.14578383945774662
0.01,-8.636363636363637,0.1526359110533758
0.01,-8.484848484848484,0.15980211798908603
0.01,-8.333333333333334,0.16729590354245508
0.01,-8.181818181818182,0.17513125136054938
0.01,-8.030303030303031,0.18332271823089008
0.01,-7.878787878787879,0.19188547232882108
0.01,-7.7272727272727275,0.2008353381071059
0.01,-7.575757575757576,0.2101888492183803
0.01,-7.424242424242424,0.2199633111269989
0.01,-7.2727272727272725,0.23017687538183426
0.01,-7.121212121212121,0.24084862789558412
0.01,-6.96969696969697,0.2519986940213527
0.01,-6.818181818181818,0.26364836374894135
0.01,-6.666666666666667,0.27582024098059177
0.01,-6.515151515151516,0.28853842161302345
0.01,-6.363636363636363,0.3018287060802322
0.01,-6.212121212121212,0.31571885313882936
0.01,-6.0606060606060606,0.3302388830549348
0.01,-5.909090909090909,0.34542144004345626
0.01,-5.757575757575758,0.3613022259006035
0.01,-5.606060606060606,0.3779205193671465
0.01,-5.454545454545454,0.3953197990044228
0.01,-5.303030303030303,0.41354849144164446
0.01,-5.151515151515151,0.43266087200261444
0.01,-5.0,0.4527181512579297
0.01,-4.848484848484849,0.47378978938796423
0.01,-4.696969696969697,0.4959550909214729
0.01,-4.545454545454546,0.5193051461346866
0.01,-4.393939393939394,0.5439452030562355
0.01,-4.242424242424242,0.5699975767595299
0.01,-4.090909090909091,0.5976052318210798
0.01,-3.9393939393939394,0.6269362110634761
0.01,-3.787878787878788,0.6581891305531778
0.01,-3.6363636363636362,0.6916000182491072
0.01,-3.484848484848485,0.7274508406302049
0.01,-3.3333333333333335,0.7660801317000338
0.01,-3.1818181818181817,0.8078961930081857
0.01,-3.0303030303030303,0.8533933240544199
0.01,-2.878787878787879,0.9031713576618915
0.01,-2.727272727272727,0.9579581595535339
0.01,-2.5757575757575757,1.018633132102567
0.01,-2.4242424242424243,1.0862458571448406
0.01,-2.272727272727273,1.1620149684152399
0.01,-2.121212121212121,1.2472718844988462
0.01,-1.9696969696969697,1.3432688191128892
0.01,-1.8181818181818181,1.4506746872830418
0.01,-1.6666666666666667,1.5683987431360065
0.01,-1.5151515151515151,1.6911174748329654
0.01,-1.3636363636363635,1.8048841447964694
0.01,-1.2121212121212122,1.881986529168739
0.01,-1.0606060606060606,1.8823355758182894
0.01,-0.9090909090909091,1.7735437959144684
0.01,-0.7575757575757576,1.5611033134169605
0.01,-0.6060606060606061,1.2882321060521522
0.01,-0.45454545454545453,1.0008589891723725
0.01,-0.30303030303030304,0.7217378401839853
0.01,-0.15151515151515152,0.44459609690261614
0.01,0.0,0.0900924941822108
0.7169696969696969,-15.0,0.0250047437907919
0.7169696969696969,-14.848484848484848,0.026151795781174877
0.7169696969696969,-14.696969696969697,0.027353203987902308
0.7169696969696969,-14.545454545454545,0.02861158368730218
0.7169696969696969,-14.393939393939394,0.029929674382314992
0.7169696969696969,-14.242424242424242,0.031310345313102374
0.7169696969696969,-14.090909090909092,0.03275660116300161
0.7169696969696969,-13.93939393939394,0.03427158796117515
0.7169696969696969,-13.787878787878787,0.03585859918261394
0.7169696969696969,-13.636363636363637,0.0375210820453747
0.7169696969696969,-13.484848484848484,0.0392626440040729
0.7169696969696969,-13.333333333333334,0.04108705943769943
0.7169696969696969,-13.181818181818182,0.04299827652879996
0.7169696969696969,-13.030303030303031,0.045000424329929
0.7169696969696969,-12.878787878787879,0.04709782001209627
0.7169696969696969,-12.727272727272727,0.04929497628864547
0.7169696969696969,-12.575757575757576,0.051596609006682684
0.7169696969696969,-12.424242424242424,0.054007644896790635
0.7169696969696969,-12.272727272727273,0.056533229470387206
0.7169696969696969,-12.121212121212121,0.05917873505270747
0.7169696969696969,-11.969696969696969,0.06194976893807998
0.7169696969696969,-11.818181818181818,0.06485218165296991
0.7169696969696969,-11.666666666666666,0.06789207531124024
0.7169696969696969,-11.515151515151516,0.07107581204533411
0.7169696969696969,-11.363636363636363,0.07441002249670513
0.7169696969696969,-11.212121212121213,0.07790161434894798
0.7169696969696969,-11.06060606060606,0.08155778088786772
0.7169696969696969,-10.909090909090908,0.0853860095743727
0.7169696969696969,-10.757575757575758,0.08939409061880126
0.7169696969696969,-10.606060606060606,0.09359012554938557
0.7169696969696969,-10.454545454545455,0.09798253577334695
0.7169696969696969,-10.303030303030303,0.10258007113699749
0.7169696969696969,-10.151515151515152,0.10739181850166596
0.7169696969696969,-10.0,0.1124272103658263
0.7169696969696969,-9.848484848484848,0.11769603358113609
0.7169696969696969,-9.696969696969697,0.12320843823196005
0.7169696969696969,-9.545454545454545,0.12897494677526794
0.7169696969696969,-9.393939393939394,0.13500646357159948
0.7169696969696969,-9.242424242424242,0.14131428497934576
0.7169696969696969,-9.090909090909092,0.1479101102353325
0.7169696969696969,-8.93939393939394,0.1548060534063146
0.7169696969696969,-8.787878787878787,0.16201465677048893
0.7169696969696969,-8.636363636363637,0.16954890607785786
